Year,Bay,Lakeside,Long,Nickel,Queens_Royal,Sherkston_Wyldewood,Sherkston_Elco,Wainfleet,Bluffers,Centre_Island,Cherry,Gibraltar_Point,Hanlans_Point,Kew_Balmy,Marie_Curtis,Rouge,Sunnyside,Wards_Island,Woodbine
2007,NA,NA,NA,NA,NA,NA,NA,NA,105,58,28,21,18,73,108,155,97,44,43
2008,NA,NA,NA,NA,NA,NA,NA,NA,56,49,45,27,39,43,238,144,206,51,29
2009,NA,NA,NA,NA,NA,NA,NA,NA,45,20,21,9,13,69,139,80,72,12,49
2010,NA,NA,NA,NA,NA,NA,NA,NA,72,66,40,27,34,72,238,170,117,41,39
2011,116,97,119,99,156,101,100,129,24,36,22,20,21,58,64,183,86,28,18
2012,88,116,102,129,131,99,56,111,29,43,35,22,28,63,133,80,79,38,41
2013,83,64,92,106,122,63,72,107,45,79,40,41,39,48,171,77,166,78,35
2014,148,158,113,140,274,122,117,144,38,44,24,26,28,43,89,57,107,33,26
2015,178,132,118,132,194,153,140,147,37,39,38,25,27,34,91,39,75,43,22
2016,72,77,102,78,96,28,50,141,18,28,18,19,23,47,83,31,71,22,23
2017,81,96,140,79,127,105,59,124,21,25,35,25,31,67,109,51,105,30,28
2018,118,44,123,49,97,31,44,101,28,39,29,23,29,54,144,81,95,33,43
2019,106,49,166,60,141,62,69,150,23,28,26,24,34,33,98,42,122,30,27
2020,NA,NA,NA,NA,NA,NA,NA,NA,19,22,18,15,30,76,55,106,194,21,45
